date,Open,High,Low,Close,Pair,Weekly_Return
2025-01-03,0.90187,0.91377,0.901,0.90853,USD/CHF,0.430005305978054
2025-01-10,0.90777,0.9189,0.90084,0.91663,USD/CHF,0.8915500864033143
2025-01-17,0.91671,0.92013,0.90806,0.91506,USD/CHF,-0.17127957845586295
2025-01-24,0.91402,0.91528,0.90272,0.90593,USD/CHF,-0.9977487815006625
2025-01-31,0.90657,0.91162,0.8965,0.91092,USD/CHF,0.5508151843961473
2025-02-07,0.91519,0.91972,0.90016,0.91012,USD/CHF,-0.08782329952135015
2025-02-14,0.91059,0.91562,0.89722,0.89969,USD/CHF,-1.146002724915396
2025-02-21,0.8993,0.90551,0.89676,0.89897,USD/CHF,-0.08002756505017805
2025-02-28,0.89761,0.90365,0.89122,0.9031,USD/CHF,0.4594146634481655
2025-03-07,0.90301,0.90355,0.87673,0.87997,USD/CHF,-2.5611781641014297
2025-03-14,0.87983,0.88644,0.87578,0.88556,USD/CHF,0.635248928940757
2025-03-21,0.88519,0.88549,0.87556,0.88311,USD/CHF,-0.2766610958037874
2025-03-28,0.88296,0.88509,0.87993,0.88074,USD/CHF,-0.2683697387641404
2025-04-04,0.8592,0.86241,0.84782,0.86057,USD/CHF,-2.2901196720939265
2024-04-05,151.306,151.9545,150.814,151.63,USD/JPY,
2024-04-12,151.60001,153.38699,151.57201,153.29349,USD/JPY,1.0970718195607798
2024-04-19,153.14951,154.7885,152.97699,154.64749,USD/JPY,0.8832729948284213
2024-04-26,154.6075,158.4465,154.466,158.28601,USD/JPY,2.352783093990074
2024-05-03,157.89099,160.23,151.86,152.8775,USD/JPY,-3.416922316760662
2024-05-10,152.961,155.95401,152.812,155.797,USD/JPY,1.9096989419633337
2024-05-17,155.72601,156.76651,153.6035,155.70801,USD/JPY,-0.05711919998458992
2024-05-24,155.63651,157.1965,155.49699,156.9675,USD/JPY,0.8088793890564716
2024-05-31,157.00351,157.71051,156.3755,157.265,USD/JPY,0.18952967971075374
2024-06-07,157.2115,157.4765,154.5515,156.7625,USD/JPY,-0.3195243696944683
2024-06-14,156.7755,158.259,155.72,157.3965,USD/JPY,0.40443345825693644
2024-06-21,157.3735,159.827,157.15851,159.827,USD/JPY,1.5441893561800812
2024-06-28,159.78,161.284,158.74701,160.89151,USD/JPY,0.6660389045655801
2024-07-05,160.811,161.9525,160.34149,160.8125,USD/JPY,-0.04910762538061775
2024-07-12,160.7645,161.8085,157.36749,157.88501,USD/JPY,-1.8204368441507968
2024-07-19,158.13651,158.85699,155.37299,157.524,USD/JPY,-0.22865375249999653
2024-07-26,157.43301,157.61501,151.944,153.76599,USD/JPY,-2.3856745638759835
2024-08-02,153.735,155.21851,146.42151,146.5835,USD/JPY,-4.6710524219302325
2024-08-09,146.51251,147.90649,141.694,146.6575,USD/JPY,0.050483171707593755
2024-08-16,146.6105,149.39899,146.07501,147.61151,USD/JPY,0.6505020200126221
2024-08-23,147.5965,148.056,144.04849,144.3815,USD/JPY,-2.1881830217711506
2024-08-30,144.209,146.2495,143.44901,146.209,USD/JPY,1.2657438799292153
2024-09-06,146.10199,147.21249,141.77299,142.325,USD/JPY,-2.656471215862233
2024-09-13,142.354,143.7995,140.2845,140.886,USD/JPY,-1.0110662216757382
2024-09-20,140.75549,144.49799,139.5815,143.91101,USD/JPY,2.147133143108615
2024-09-27,143.85901,146.49899,142.069,142.27299,USD/JPY,-1.1382172913663835
2024-10-04,142.21201,149.005,141.64749,148.6535,USD/JPY,4.484695232735336
2024-10-11,148.742,149.5955,147.3465,149.14099,USD/JPY,0.3279371155068489
